None,mdate,open_d,high_d,low_d,close_d,volume
434,2021-10-15,592.0,600.0,586.0,600.0,55305.252
435,2021-10-18,604.0,604.0,590.0,590.0,19753.943
436,2021-10-19,598.0,600.0,593.0,600.0,18709.936
437,2021-10-20,603.0,604.0,597.0,598.0,17537.878
438,2021-10-21,602.0,603.0,595.0,596.0,16882.324
439,2021-10-22,600.0,602.0,594.0,600.0,14236.279
440,2021-10-25,597.0,597.0,590.0,593.0,17724.968
441,2021-10-26,595.0,600.0,593.0,599.0,27047.187
442,2021-10-27,598.0,599.0,594.0,599.0,16260.278
443,2021-10-28,598.0,598.0,591.0,595.0,16927.154
444,2021-10-29,595.0,596.0,589.0,590.0,27684.673
445,2021-11-01,591.0,593.0,590.0,590.0,17110.357
446,2021-11-02,594.0,597.0,590.0,592.0,16544.999
447,2021-11-03,597.0,597.0,592.0,592.0,11404.984
448,2021-11-04,592.0,594.0,585.0,587.0,18345.245
449,2021-11-05,598.0,600.0,595.0,600.0,34158.799
450,2021-11-08,600.0,602.0,598.0,602.0,20886.897
451,2021-11-09,611.0,617.0,610.0,611.0,42340.785
452,2021-11-10,611.0,612.0,608.0,612.0,18518.512
453,2021-11-11,600.0,606.0,600.0,606.0,20257.792
454,2021-11-12,610.0,611.0,602.0,604.0,21373.014
455,2021-11-15,609.0,611.0,607.0,608.0,17140.935
456,2021-11-16,612.0,612.0,608.0,610.0,21776.308
457,2021-11-17,615.0,615.0,608.0,610.0,21829.653
458,2021-11-18,613.0,614.0,607.0,613.0,22933.191
459,2021-11-19,622.0,623.0,617.0,618.0,38847.82
460,2021-11-22,618.0,618.0,615.0,615.0,23296.854
